,date,result
0,2014-07-31,0.0
1,2014-08-01,0.0
2,2014-08-04,0.0
3,2014-08-05,0.0
4,2014-08-06,0.0
5,2014-08-08,0.0
6,2014-08-11,0.0
7,2014-08-12,0.0
8,2014-08-13,0.0
9,2014-08-14,0.0
10,2014-08-15,0.0
11,2014-08-18,0.0
12,2014-08-19,0.0
13,2014-08-22,0.0
14,2014-08-28,0.0
15,2014-08-29,0.0
16,2014-09-01,0.0
17,2014-09-02,0.0
18,2014-09-10,0.0
19,2014-09-11,0.0
20,2014-09-12,0.0
21,2014-09-15,0.0
22,2014-09-16,0.0
23,2014-09-17,0.0
24,2014-09-18,0.0
25,2014-09-19,0.0
26,2014-09-22,0.0
27,2014-09-23,0.0
28,2014-09-24,0.0
29,2014-09-25,0.0
30,2014-09-26,0.0
31,2014-09-29,0.0
32,2014-09-30,0.0
33,2014-10-01,0.0
34,2014-10-02,0.0
35,2014-10-03,0.0
36,2014-10-06,0.0
37,2014-10-07,0.0
38,2014-10-08,0.0
39,2014-10-09,0.0
40,2014-10-10,0.0
41,2014-10-13,0.0
42,2014-10-14,0.0
43,2014-10-15,0.0
44,2014-10-16,0.0
45,2014-10-17,0.0
46,2014-10-20,0.0
47,2014-10-21,0.0
48,2014-10-22,0.0
49,2014-10-23,0.0
50,2014-10-24,0.0
51,2014-10-27,0.0
52,2014-10-28,0.0
53,2014-10-29,0.0
54,2014-10-30,0.0
55,2014-10-31,0.0
56,2014-11-03,0.0
57,2014-11-04,0.0
58,2014-11-05,0.0
59,2014-11-06,0.0
60,2014-11-07,0.0
61,2014-11-10,0.0
62,2014-11-11,0.0
63,2014-11-12,0.0
64,2014-11-13,0.0
65,2014-11-14,0.0
66,2014-11-17,0.0
67,2014-11-18,0.0
68,2014-11-19,0.0
69,2014-11-20,0.0
70,2014-11-21,0.0
71,2014-11-24,0.0
72,2014-11-25,0.0
73,2014-11-26,0.0
74,2014-11-27,0.0
75,2014-11-28,0.0
76,2014-12-01,0.0
77,2014-12-02,0.0
78,2014-12-03,0.0
79,2014-12-05,0.0
80,2014-12-08,0.0
81,2014-12-09,0.0
82,2014-12-10,0.0
83,2014-12-11,0.0
84,2014-12-16,0.0
85,2014-12-17,0.0
86,2014-12-18,0.0
87,2014-12-19,0.0
88,2014-12-22,0.0
89,2014-12-23,0.0
90,2014-12-24,0.0
91,2014-12-29,0.0
92,2014-12-30,0.0
93,2014-12-31,0.0
