,date,result
0,2015-01-02,0.0
1,2015-01-05,0.0
2,2015-01-06,0.0
3,2015-01-07,0.0
4,2015-01-08,0.0
5,2015-01-09,0.0
6,2015-01-12,0.0
7,2015-01-13,1.0
8,2015-01-14,0.0
9,2015-01-15,0.0
10,2015-01-16,1.0
11,2015-01-19,1.0
12,2015-01-20,1.0
13,2015-01-21,1.0
14,2015-01-22,1.0
15,2015-01-23,1.0
16,2015-01-26,1.0
17,2015-01-27,1.0
18,2015-01-28,1.0
19,2015-01-29,1.0
20,2015-01-30,1.0
21,2015-02-02,1.0
22,2015-02-03,1.0
23,2015-02-04,1.0
24,2015-02-05,1.0
25,2015-02-06,1.0
26,2015-02-09,1.0
27,2015-02-10,0.0
28,2015-02-11,0.0
29,2015-02-12,1.0
30,2015-02-13,1.0
31,2015-02-16,0.0
32,2015-02-17,0.0
33,2015-02-18,0.0
34,2015-02-19,0.0
35,2015-02-20,0.0
36,2015-02-23,0.0
37,2015-02-24,1.0
38,2015-02-25,1.0
39,2015-02-26,0.0
40,2015-02-27,1.0
41,2015-03-02,1.0
42,2015-03-03,1.0
43,2015-03-04,1.0
44,2015-03-05,1.0
45,2015-03-06,1.0
46,2015-03-09,1.0
47,2015-03-10,0.0
48,2015-03-11,0.0
49,2015-03-12,0.0
50,2015-03-13,1.0
51,2015-03-16,1.0
52,2015-03-17,1.0
53,2015-03-18,1.0
54,2015-03-19,1.0
55,2015-03-20,1.0
56,2015-03-23,1.0
57,2015-03-24,1.0
58,2015-03-25,1.0
59,2015-03-26,1.0
60,2015-03-27,1.0
61,2015-03-30,1.0
62,2015-03-31,1.0
63,2015-04-01,1.0
64,2015-04-02,1.0
65,2015-04-07,1.0
66,2015-04-08,1.0
67,2015-04-09,1.0
68,2015-04-10,1.0
69,2015-04-13,1.0
70,2015-04-14,1.0
71,2015-04-15,1.0
72,2015-04-16,1.0
73,2015-04-17,1.0
74,2015-04-20,1.0
75,2015-04-21,1.0
76,2015-04-22,1.0
77,2015-04-23,1.0
78,2015-04-24,1.0
79,2015-04-27,1.0
80,2015-05-07,1.0
81,2015-05-08,1.0
82,2015-05-11,1.0
83,2015-05-12,0.0
84,2015-05-13,0.0
85,2015-05-14,0.0
86,2015-05-15,0.0
87,2015-05-18,0.0
88,2015-05-19,0.0
89,2015-05-20,0.0
90,2015-05-21,0.0
91,2015-05-22,0.0
92,2015-05-26,0.0
93,2015-05-27,0.0
94,2015-05-28,0.0
95,2015-05-29,0.0
96,2015-06-01,0.0
97,2015-06-02,0.0
98,2015-06-03,1.0
99,2015-06-04,0.0
100,2015-06-05,1.0
101,2015-06-08,1.0
102,2015-06-09,1.0
103,2015-06-10,1.0
104,2015-06-11,1.0
105,2015-06-12,1.0
106,2015-06-15,0.0
107,2015-06-16,0.0
108,2015-06-17,0.0
109,2015-06-18,0.0
110,2015-06-19,0.0
111,2015-06-22,1.0
112,2015-06-23,1.0
113,2015-06-24,0.0
114,2015-06-25,1.0
115,2015-06-26,0.0
116,2015-06-29,1.0
117,2015-06-30,1.0
